temp,temp
425,79.0
426,2017-06-08
427,80.0
428,2017-06-09
429,80.0
430,2017-06-10
431,77.0
432,2017-06-11
433,79.0
434,2017-06-12
435,83.0
436,2017-06-13
437,80.0
438,2017-06-14
439,80.0
440,2017-06-15
441,78.0
442,2017-06-16
443,79.0
444,2017-06-17
445,80.0
446,2017-06-18
447,77.0
448,2017-06-19
449,80.0
450,2017-06-20
451,78.0
452,2017-06-21
453,79.0
454,2017-06-22
455,80.0
456,2017-06-23
457,78.0
458,2017-06-24
459,80.0
460,2017-06-25
461,80.0
462,2017-06-26
463,81.0
464,2017-06-27
465,80.0
466,2017-06-28
467,79.0
468,2017-06-29
469,79.0
470,2017-06-30
471,75.0
472,2010-06-01
473,74.0
474,2010-06-02
475,76.0
476,2010-06-03
477,75.0
478,2010-06-04
479,75.0
480,2010-06-05
481,74.0
482,2010-06-06
483,75.0
484,2010-06-07
485,75.0
486,2010-06-08
487,75.0
488,2010-06-09
489,75.0
490,2010-06-10
491,75.0
492,2010-06-11
493,83.0
494,2010-06-12
495,75.0
496,2010-06-13
497,76.0
498,2010-06-14
499,73.0
500,2010-06-15
501,74.0
502,2010-06-16
503,74.0
504,2010-06-17
505,75.0
506,2010-06-18
507,70.0
508,2010-06-19
509,74.0
510,2010-06-20
511,75.0
512,2010-06-21
513,75.0
514,2010-06-22
515,75.0
516,2010-06-23
517,75.0
518,2010-06-24
519,75.0
520,2010-06-25
521,74.0
522,2010-06-26
523,72.0
524,2010-06-27
525,76.0
526,2010-06-28
527,73.0
528,2010-06-29
529,75.0
530,2010-06-30
531,76.0
532,2011-06-01
533,74.0
534,2011-06-02
535,75.0
536,2011-06-03
537,71.0
538,2011-06-04
539,69.0
540,2011-06-05
541,69.0
542,2011-06-06
543,74.0
544,2011-06-07
545,71.0
546,2011-06-08
547,74.0
548,2011-06-09
549,74.0
550,2011-06-10
551,75.0
552,2011-06-11
553,73.0
554,2011-06-12
555,73.0
556,2011-06-13
557,73.0
558,2011-06-14
559,75.0
560,2011-06-15
561,75.0
562,2011-06-16
563,74.0
564,2011-06-17
565,74.0
566,2011-06-18
567,75.0
568,2011-06-19
569,74.0
570,2011-06-20
571,73.0
572,2011-06-21
573,72.0
574,2011-06-22
575,74.0
576,2011-06-23
577,72.0
578,2011-06-24
579,75.0
580,2011-06-25
581,76.0
582,2011-06-26
583,74.0
584,2011-06-27
585,74.0
586,2011-06-28
587,74.0
588,2011-06-29
589,74.0
590,2011-06-30
591,74.0
592,2012-06-01
593,71.0
594,2012-06-02
595,71.0
596,2012-06-03
597,75.0
598,2012-06-04
599,72.0
600,2012-06-05
601,72.0
602,2012-06-06
603,73.0
604,2012-06-07
605,73.0
606,2012-06-08
607,73.0
608,2012-06-09
609,74.0
610,2012-06-10
611,73.0
612,2012-06-11
613,72.0
614,2012-06-12
615,72.0
616,2012-06-13
617,70.0
618,2012-06-14
619,72.0
620,2012-06-15
621,72.0
622,2012-06-16
